시도별(1),2009.1/4,2009.1/4,2009.1/4,2009.1/4,2009.1/4,2009.1/4,2009.1/4,2009.1/4,2009.1/4,2009.1/4,2009.1/4,2009.1/4,2009.1/4,2009.1/4,2009.1/4,2009.1/4,2010.1/4,2010.1/4,2010.1/4,2010.1/4,2010.1/4,2010.1/4,2010.1/4,2010.1/4,2010.1/4,2010.1/4,2010.1/4,2010.1/4,2010.1/4,2010.1/4,2010.1/4,2010.1/4,2011.1/4,2011.1/4,2011.1/4,2011.1/4,2011.1/4,2011.1/4,2011.1/4,2011.1/4,2011.1/4,2011.1/4,2011.1/4,2011.1/4,2011.1/4,2011.1/4,2011.1/4,2011.1/4,2012.1/4,2012.1/4,2012.1/4,2012.1/4,2012.1/4,2012.1/4,2012.1/4,2012.1/4,2012.1/4,2012.1/4,2012.1/4,2012.1/4,2012.1/4,2012.1/4,2012.1/4,2012.1/4,2013.1/4,2013.1/4,2013.1/4,2013.1/4,2013.1/4,2013.1/4,2013.1/4,2013.1/4,2013.1/4,2013.1/4,2013.1/4,2013.1/4,2013.1/4,2013.1/4,2013.1/4,2013.1/4,2014.1/4,2014.1/4,2014.1/4,2014.1/4,2014.1/4,2014.1/4,2014.1/4,2014.1/4,2014.1/4,2014.1/4,2014.1/4,2014.1/4,2014.1/4,2014.1/4,2014.1/4,2014.1/4,2015.1/4,2015.1/4,2015.1/4,2015.1/4,2015.1/4,2015.1/4,2015.1/4,2015.1/4,2015.1/4,2015.1/4,2015.1/4,2015.1/4,2015.1/4,2015.1/4,2015.1/4,2015.1/4,2016.1/4,2016.1/4,2016.1/4,2016.1/4,2016.1/4,2016.1/4,2016.1/4,2016.1/4,2016.1/4,2016.1/4,2016.1/4,2016.1/4,2016.1/4,2016.1/4,2016.1/4,2016.1/4,2017.1/4,2017.1/4,2017.1/4,2017.1/4,2017.1/4,2017.1/4,2017.1/4,2017.1/4,2017.1/4,2017.1/4,2017.1/4,2017.1/4,2017.1/4,2017.1/4,2017.1/4,2017.1/4,2018.1/4,2018.1/4,2018.1/4,2018.1/4,2018.1/4,2018.1/4,2018.1/4,2018.1/4,2018.1/4,2018.1/4,2018.1/4,2018.1/4,2018.1/4,2018.1/4,2018.1/4,2018.1/4,2019.1/4,2019.1/4,2019.1/4,2019.1/4,2019.1/4,2019.1/4,2019.1/4,2019.1/4,2019.1/4,2019.1/4,2019.1/4,2019.1/4,2019.1/4,2019.1/4,2019.1/4,2019.1/4,2020.1/4,2020.1/4,2020.1/4,2020.1/4,2020.1/4,2020.1/4,2020.1/4,2020.1/4,2020.1/4,2020.1/4,2020.1/4,2020.1/4,2020.1/4,2020.1/4,2020.1/4,2020.1/4,2021.1/4,2021.1/4,2021.1/4,2021.1/4,2021.1/4,2021.1/4,2021.1/4,2021.1/4,2021.1/4,2021.1/4,2021.1/4,2021.1/4,2021.1/4,2021.1/4,2021.1/4,2021.1/4,2021.1/4,2022.1/4,2022.1/4,2022.1/4,2022.1/4,2022.1/4,2022.1/4,2022.1/4,2022.1/4,2022.1/4,2022.1/4,2022.1/4,2022.1/4,2022.1/4,2022.1/4,2022.1/4,2022.1/4,2022.1/4,2023.1/4,2023.1/4,2023.1/4,2023.1/4,2023.1/4,2023.1/4,2023.1/4,2023.1/4,2023.1/4,2023.1/4,2023.1/4,2023.1/4,2023.1/4,2023.1/4,2023.1/4,2023.1/4,2023.1/4,2024.1/4,2024.1/4,2024.1/4,2024.1/4,2024.1/4,2024.1/4,2024.1/4,2024.1/4,2024.1/4,2024.1/4,2024.1/4,2024.1/4,2024.1/4,2024.1/4,2024.1/4,2024.1/4,2024.1/4
시도별(1),계,의료기관,의료기관,의료기관,의료기관,의료기관,의료기관,의료기관,의료기관,의료기관,의료기관,보건기관,보건기관,보건기관,보건기관,약국,계,의료기관,의료기관,의료기관,의료기관,의료기관,의료기관,의료기관,의료기관,의료기관,의료기관,보건기관,보건기관,보건기관,보건기관,약국,계,의료기관,의료기관,의료기관,의료기관,의료기관,의료기관,의료기관,의료기관,의료기관,의료기관,보건기관,보건기관,보건기관,보건기관,약국,계,의료기관,의료기관,의료기관,의료기관,의료기관,의료기관,의료기관,의료기관,의료기관,의료기관,보건기관,보건기관,보건기관,보건기관,약국,계,의료기관,의료기관,의료기관,의료기관,의료기관,의료기관,의료기관,의료기관,의료기관,의료기관,보건기관,보건기관,보건기관,보건기관,약국,계,의료기관,의료기관,의료기관,의료기관,의료기관,의료기관,의료기관,의료기관,의료기관,의료기관,보건기관,보건기관,보건기관,보건기관,약국,계,의료기관,의료기관,의료기관,의료기관,의료기관,의료기관,의료기관,의료기관,의료기관,의료기관,보건기관,보건기관,보건기관,보건기관,약국,계,의료기관,의료기관,의료기관,의료기관,의료기관,의료기관,의료기관,의료기관,의료기관,의료기관,보건기관,보건기관,보건기관,보건기관,약국,계,의료기관,의료기관,의료기관,의료기관,의료기관,의료기관,의료기관,의료기관,의료기관,의료기관,보건기관,보건기관,보건기관,보건기관,약국,계,의료기관,의료기관,의료기관,의료기관,의료기관,의료기관,의료기관,의료기관,의료기관,의료기관,보건기관,보건기관,보건기관,보건기관,약국,계,의료기관,의료기관,의료기관,의료기관,의료기관,의료기관,의료기관,의료기관,의료기관,의료기관,보건기관,보건기관,보건기관,보건기관,약국,계,의료기관,의료기관,의료기관,의료기관,의료기관,의료기관,의료기관,의료기관,의료기관,의료기관,보건기관,보건기관,보건기관,보건기관,약국,계,의료기관,의료기관,의료기관,의료기관,의료기관,의료기관,의료기관,의료기관,의료기관,의료기관,의료기관,보건기관,보건기관,보건기관,보건기관,약국,계,의료기관,의료기관,의료기관,의료기관,의료기관,의료기관,의료기관,의료기관,의료기관,의료기관,의료기관,보건기관,보건기관,보건기관,보건기관,약국,계,의료기관,의료기관,의료기관,의료기관,의료기관,의료기관,의료기관,의료기관,의료기관,의료기관,의료기관,보건기관,보건기관,보건기관,보건기관,약국,계,의료기관,의료기관,의료기관,의료기관,의료기관,의료기관,의료기관,의료기관,의료기관,의료기관,의료기관,보건기관,보건기관,보건기관,보건기관,약국
시도별(1),소계,상급종합병원,종합병원,병원,요양병원,의원,치과병원,치과의원,조산원,한방병원,한의원,보건의료원,보건소,보건지소,보건진료소,소계,소계,상급종합병원,종합병원,병원,요양병원,의원,치과병원,치과의원,조산원,한방병원,한의원,보건의료원,보건소,보건지소,보건진료소,소계,소계,상급종합병원,종합병원,병원,요양병원,의원,치과병원,치과의원,조산원,한방병원,한의원,보건의료원,보건소,보건지소,보건진료소,소계,소계,상급종합병원,종합병원,병원,요양병원,의원,치과병원,치과의원,조산원,한방병원,한의원,보건의료원,보건소,보건지소,보건진료소,소계,소계,상급종합병원,종합병원,병원,요양병원,의원,치과병원,치과의원,조산원,한방병원,한의원,보건의료원,보건소,보건지소,보건진료소,소계,소계,상급종합병원,종합병원,병원,요양병원,의원,치과병원,치과의원,조산원,한방병원,한의원,보건의료원,보건소,보건지소,보건진료소,소계,소계,상급종합병원,종합병원,병원,요양병원,의원,치과병원,치과의원,조산원,한방병원,한의원,보건의료원,보건소,보건지소,보건진료소,소계,소계,상급종합병원,종합병원,병원,요양병원,의원,치과병원,치과의원,조산원,한방병원,한의원,보건의료원,보건소,보건지소,보건진료소,소계,소계,상급종합병원,종합병원,병원,요양병원,의원,치과병원,치과의원,조산원,한방병원,한의원,보건의료원,보건소,보건지소,보건진료소,소계,소계,상급종합병원,종합병원,병원,요양병원,의원,치과병원,치과의원,조산원,한방병원,한의원,보건의료원,보건소,보건지소,보건진료소,소계,소계,상급종합병원,종합병원,병원,요양병원,의원,치과병원,치과의원,조산원,한방병원,한의원,보건의료원,보건소,보건지소,보건진료소,소계,소계,상급종합병원,종합병원,병원,요양병원,의원,치과병원,치과의원,조산원,한방병원,한의원,보건의료원,보건소,보건지소,보건진료소,소계,소계,상급종합병원,종합병원,병원,요양병원,정신병원,의원,치과병원,치과의원,조산원,한방병원,한의원,보건의료원,보건소,보건지소,보건진료소,소계,소계,상급종합병원,종합병원,병원,요양병원,정신병원,의원,치과병원,치과의원,조산원,한방병원,한의원,보건의료원,보건소,보건지소,보건진료소,소계,소계,상급종합병원,종합병원,병원,요양병원,정신병원,의원,치과병원,치과의원,조산원,한방병원,한의원,보건의료원,보건소,보건지소,보건진료소,소계,소계,상급종합병원,종합병원,병원,요양병원,정신병원,의원,치과병원,치과의원,조산원,한방병원,한의원,보건의료원,보건소,보건지소,보건진료소,소계
계,"78,829",44,269,"1,211",714,"26,640",172,"13,831",51,139,"11,424",17,239,"1,286","1,912","20,880","80,632",44,271,"1,284",800,"27,167",185,"14,321",46,165,"11,851",17,239,"1,291","1,915","21,036","82,189",44,272,"1,345",900,"27,638",195,"14,796",45,173,"12,116",17,240,"1,297","1,918","21,193","83,217",44,274,"1,391","1,006","27,932",199,"15,149",37,185,"12,430",16,242,"1,295","1,916","21,101","84,211",43,280,"1,432","1,136","28,137",205,"15,477",33,204,"12,786",15,243,"1,301","1,911","21,008","85,427",43,284,"1,448","1,276","28,484",202,"15,837",34,212,"13,166",15,244,"1,306","1,905","20,971","87,071",43,292,"1,494","1,339","29,037",206,"16,294",35,243,"13,465",15,244,"1,314","1,908","21,142","88,500",43,295,"1,502","1,383","29,694",216,"16,687",30,263,"13,649",15,242,"1,315","1,905","21,261","90,360",43,301,"1,457","1,502","30,482",226,"17,097",27,296,"13,915",15,241,"1,317","1,903","21,538","92,044",42,302,"1,471","1,535","31,177",232,"17,464",26,307,"14,154",15,241,"1,316","1,906","21,856","93,684",42,312,"1,470","1,565","31,957",241,"17,754",21,309,"14,322",15,241,"1,316","1,905","22,214","95,557",42,315,"1,495","1,584","32,665",238,"18,051",19,357,"14,414",15,241,"1,317","1,902","22,902","97,238",45,317,"1,453","1,461",166,"33,354",232,"18,338",18,430,"14,485",15,243,"1,315","1,904","23,462","99,028",45,325,"1,390","1,467",249,"34,216",235,"18,664",16,488,"14,528",15,243,"1,314","1,905","23,928","100,827",45,329,"1,405","1,425",259,"35,225",236,"18,897",15,549,"14,556",15,246,"1,315","1,901","24,409","102,197",47,329,"1,407","1,382",260,"35,951",240,"19,092",15,563,"14,617",15,246,"1,312","1,898","24,823"
서울특별시,"20,176",17,43,159,60,"6,985",64,"4,266",6,31,"3,238",0,25,1,0,"5,281","20,683",17,42,169,68,"7,205",70,"4,426",6,30,"3,334",0,25,1,0,"5,290","20,999",17,41,179,74,"7,391",73,"4,544",6,33,"3,353",0,25,2,0,"5,261","20,994",17,40,188,84,"7,415",71,"4,573",4,32,"3,401",0,25,2,0,"5,142","21,022",17,41,203,95,"7,453",72,"4,583",4,32,"3,446",0,25,2,0,"5,049","21,085",17,40,213,100,"7,534",71,"4,589",5,34,"3,488",0,25,4,0,"4,965","21,303",14,42,217,106,"7,676",70,"4,648",5,34,"3,516",0,25,4,0,"4,946","21,546",14,42,219,104,"7,859",67,"4,702",5,41,"3,539",0,25,4,0,"4,925","21,821",14,43,221,113,"8,023",69,"4,750",4,43,"3,579",0,25,4,0,"4,933","22,135",13,44,223,116,"8,215",65,"4,807",4,44,"3,609",0,25,6,0,"4,964","22,461",13,45,222,120,"8,427",67,"4,818",3,44,"3,617",0,25,8,0,"5,052","22,930",13,44,230,125,"8,706",65,"4,851",3,54,"3,625",0,25,8,0,"5,181","23,339",14,42,226,123,7,"8,965",60,"4,887",3,63,"3,617",0,25,8,0,"5,299","23,781",14,42,223,125,12,"9,264",60,"4,906",3,76,"3,621",0,25,8,0,"5,402","24,145",14,42,230,122,12,"9,539",60,"4,891",3,87,"3,629",0,25,10,0,"5,481","24,503",14,43,227,110,12,"9,803",60,"4,899",3,87,"3,624",0,25,10,0,"5,586"
부산광역시,"5,804",4,23,99,89,"2,064",9,"1,010",14,6,930,0,16,9,5,"1,526","5,863",4,23,104,103,"2,057",9,"1,027",10,7,961,0,16,10,5,"1,527","5,985",4,24,114,120,"2,083",10,"1,063",10,8,982,0,16,11,5,"1,535","6,074",4,23,120,136,"2,096",11,"1,093",10,8,"1,005",0,16,11,5,"1,536","6,157",4,23,123,159,"2,093",13,"1,139",7,9,"1,027",0,16,11,5,"1,528","6,232",4,23,126,179,"2,124",15,"1,158",6,6,"1,071",0,16,11,5,"1,488","6,354",4,23,134,184,"2,161",16,"1,198",4,9,"1,094",0,16,11,5,"1,495","6,425",4,24,131,193,"2,204",20,"1,212",3,9,"1,098",0,16,11,5,"1,495","6,507",4,25,135,199,"2,247",22,"1,235",2,10,"1,106",0,16,11,5,"1,490","6,620",4,25,139,197,"2,304",23,"1,259",2,9,"1,122",0,16,11,5,"1,504","6,716",4,25,139,188,"2,363",25,"1,263",2,9,"1,129",0,16,11,5,"1,537","6,793",4,25,144,188,"2,405",24,"1,280",2,10,"1,139",0,16,11,5,"1,540","6,906",3,26,137,169,24,"2,438",23,"1,303",1,15,"1,143",0,16,11,5,"1,592","7,010",3,25,135,169,23,"2,493",24,"1,313",1,18,"1,143",0,16,11,5,"1,631","7,169",3,25,143,163,23,"2,574",24,"1,334",1,26,"1,141",0,16,11,5,"1,680","7,227",4,25,142,162,23,"2,614",25,"1,334",1,27,"1,139",0,16,11,5,"1,699"
대구광역시,"4,204",4,7,95,36,"1,445",17,681,1,8,716,0,8,9,9,"1,168","4,304",4,7,100,38,"1,474",17,718,1,8,735,0,8,9,9,"1,176","4,409",4,8,103,40,"1,507",16,740,1,7,752,0,8,9,9,"1,205","4,478",4,8,106,42,"1,549",16,746,1,6,771,0,8,9,9,"1,203","4,505",4,8,108,50,"1,559",15,757,1,5,786,0,8,9,9,"1,186","4,583",4,7,110,60,"1,583",14,783,1,2,813,0,8,9,9,"1,180","4,642",4,8,111,62,"1,599",15,807,2,2,833,0,8,9,9,"1,173","4,737",4,8,114,61,"1,635",17,834,2,2,845,0,8,9,8,"1,190","4,862",4,8,113,65,"1,694",18,858,1,2,860,0,8,9,8,"1,214","4,941",5,7,112,63,"1,725",17,873,0,2,871,0,8,9,8,"1,241","5,022",5,11,109,64,"1,775",17,880,0,2,872,0,8,9,8,"1,262","5,107",5,12,109,69,"1,809",16,884,0,3,875,0,8,9,8,"1,300","5,170",5,12,98,72,8,"1,845",15,887,0,9,878,0,8,8,8,"1,317","5,270",5,13,89,75,16,"1,903",15,906,0,10,888,0,8,8,8,"1,326","5,332",5,14,89,75,17,"1,941",14,916,0,15,886,0,8,8,8,"1,336","5,494",5,14,92,72,16,"1,999",13,941,0,17,900,0,9,15,18,"1,383"
인천광역시,"3,590",2,11,48,31,"1,308",4,656,1,10,480,0,10,23,24,982,"3,648",2,12,52,37,"1,320",3,677,1,13,499,0,10,23,24,975,"3,717",2,12,56,38,"1,339",3,701,1,12,513,0,10,23,24,983,"3,776",2,13,57,40,"1,358",3,729,1,12,537,0,10,24,24,966,"3,861",2,14,54,47,"1,378",3,758,2,14,546,0,10,26,24,983,"3,937",2,16,48,63,"1,387",4,783,2,12,576,0,10,27,25,982,"4,048",3,16,54,59,"1,419",4,807,2,14,604,0,10,28,26,"1,002","4,145",3,16,57,64,"1,444",5,838,2,17,613,0,10,27,27,"1,022","4,245",3,16,59,71,"1,476",5,859,3,18,630,0,10,27,27,"1,041","4,346",3,16,60,72,"1,506",6,890,3,22,641,0,10,27,27,"1,063","4,408",3,16,61,72,"1,540",9,897,2,26,648,0,10,27,26,"1,071","4,508",3,16,64,70,"1,573",9,913,1,32,657,0,10,27,26,"1,107","4,611",3,17,66,67,5,"1,606",9,937,1,36,662,0,10,27,26,"1,139","4,734",3,17,55,68,16,"1,664",9,965,1,45,663,0,10,27,26,"1,165","4,884",3,18,59,63,17,"1,735",11,983,1,48,672,0,10,27,26,"1,211","4,993",3,18,57,64,17,"1,781",12,993,1,48,682,0,10,27,25,"1,255"
